stem,judge,target_lm,eval_lm,optimizer,auto,metric_mode,seeded,stratification,n_examples,n_train_q,n_test_q,pre_alpha,post_full_alpha,post_full_kappa,post_full_spearman,post_full_n,post_full_mae,heldout_alpha,heldout_kappa,heldout_spearman,heldout_n,calibrate_secs,rejudge_secs
Haiku-3-5-v0.2_BootstrapFewShot_light_seed_orig,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,BootstrapFewShot,light,within_one,True,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.57,0.555,0.576,0.559,258,0.643,0.504,0.518,0.515,48,15.1,990.4
expert_A_only_Haiku-3-5-v0.2_BootstrapFewShot_light_seed_orig,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,BootstrapFewShot,light,within_one,True,group_only_no_stratify_too_few_queries,77,7,2,0.564,0.455,0.478,0.467,77,0.623,-0.104,-0.033,,20,15.9,335.9
Haiku-3-5-v0.2_BootstrapFewShot_light_scratch,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,BootstrapFewShot,light,within_one,False,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.57,0.488,0.488,0.493,257,0.72,0.376,0.383,0.388,48,12.0,837.3
Haiku-3-5-v0.2_MIPROv2_light_seed_orig,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,MIPROv2,light,within_one,True,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.57,0.528,0.542,0.544,258,0.636,0.549,0.568,0.583,48,870.2,860.8
expert_A_only_Haiku-3-5-v0.2_MIPROv2_light_seed_orig,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,MIPROv2,light,within_one,True,group_only_no_stratify_too_few_queries,77,7,2,0.564,0.324,0.379,0.333,77,0.636,-0.148,-0.037,-0.037,20,907.8,230.0
Haiku-3-5-v0.2_MIPROv2_light_scratch,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,MIPROv2,light,within_one,False,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.57,0.504,0.52,0.521,258,0.628,0.573,0.596,0.585,48,893.1,925.8
expert_A_only_Haiku-3-5-v0.2_MIPROv2_light_scratch,Haiku-3-5-v0.2,claude-haiku-4-5,azure/gpt-4.1,MIPROv2,light,within_one,False,group_only_no_stratify_too_few_queries,77,7,2,0.564,0.305,0.331,0.323,76,0.737,-0.256,-0.002,0.061,20,653.5,200.3
gpt-4.1-azure-v0.2_BootstrapFewShot_light_seed_orig,gpt-4.1-azure-v0.2,azure/gpt-4.1,azure/gpt-4.1,BootstrapFewShot,light,within_one,True,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.426,0.471,0.498,0.53,258,0.725,0.47,0.502,0.603,48,9.5,736.6
gpt-4.1-azure-v0.2_BootstrapFewShot_light_scratch,gpt-4.1-azure-v0.2,azure/gpt-4.1,azure/gpt-4.1,BootstrapFewShot,light,within_one,False,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.426,0.471,0.494,0.506,258,0.733,0.351,0.382,0.449,48,8.5,705.0
gpt-4.1-azure-v0.2_MIPROv2_light_seed_orig,gpt-4.1-azure-v0.2,azure/gpt-4.1,azure/gpt-4.1,MIPROv2,light,within_one,True,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.426,0.437,0.458,0.497,258,0.74,0.293,0.327,0.41,48,877.6,211.0
gpt-4.1-azure-v0.2_MIPROv2_light_scratch,gpt-4.1-azure-v0.2,azure/gpt-4.1,azure/gpt-4.1,MIPROv2,light,within_one,False,rounded_mean_rating_per_query_binarized_low_high,258,27,7,0.426,0.498,0.522,0.536,258,0.678,0.318,0.367,0.452,48,1276.9,505.3
