metric,variant,n_traces,real_valued,mean_shift,mean_shift_bca_low,mean_shift_bca_high,rank_biserial_mean,wilcoxon_p_mean,cohens_d_paired,n_var,median_std_B,median_std_C,std_shift,wilcoxon_p_var,rank_biserial_var,median_std_M,median_std_P,wilcoxon_p_mean_holm,wilcoxon_p_var_holm
answer_relevancy_deepeval,C,40,True,0.00015934065934065377,-0.003269230769230777,0.004785714285714285,0.0,1.0,0.012626322750723245,40,0.0,0.0,-0.003592832349968947,0.27332167829229814,-0.6,,,1.0,0.28825406963203065
answer_relevancy_deepeval,M,40,True,-0.02552665400525004,-0.0696340226332265,-0.010443023347589479,-1.0,0.0014737808438751421,-0.33302603849186635,40,0.0,,0.018591078831420128,0.0014737808438751421,1.0,0.0,,0.004421342531625426,0.004421342531625426
answer_relevancy_deepeval,P,40,True,-0.0030311355311355287,-0.008546402978114412,-0.0008333333333333359,-1.0,0.06788915486182899,-0.28465096919274635,40,0.0,,0.00152126308929838,0.14412703481601533,0.8,,0.0,0.13577830972365798,0.28825406963203065
contextual_precision_deepeval,C,40,True,-0.0013720422908589213,-0.0101084358664073,0.004627854954938106,0.019704433497536946,0.927424500241308,-0.0592727583002358,40,0.02503134628245776,0.01902120393514112,-0.003464574524543068,0.8913244160746354,-0.029556650246305417,,,1.0,1.0
contextual_precision_deepeval,M,40,True,-0.08992352598256023,-0.1637966528208449,-0.02643982484860088,-0.6114081996434938,0.0021815615385407695,-0.4080544907690972,40,0.02503134628245776,,0.029826795102759852,0.18313858346106204,0.26559714795008915,0.03580321638186515,,0.006544684615622309,0.5494157503831861
contextual_precision_deepeval,P,40,True,-0.007784273876594581,-0.021621038026324698,0.0016825355016687196,-0.0896551724137931,0.6732787363156975,-0.21201549893284524,40,0.02503134628245776,,0.0014304344144208732,0.5235489109355372,0.135632183908046,,0.017094643966412124,1.0,1.0
contextual_recall_deepeval,C,40,True,0.006268552933994115,-0.001965864859451667,0.017963187678178325,0.22943722943722944,0.357009849322944,0.19621607711187206,40,0.0,0.0,-0.010548845751403805,0.5430157923729039,-0.15151515151515152,,,0.714019698645888,0.6833617095285591
contextual_recall_deepeval,M,40,True,-0.2109404827198945,-0.2842082216253902,-0.14734820666672513,-0.8793650793650793,5.703342379110888e-06,-0.9446984129325526,40,0.0,,0.021720966702594317,0.2277872365095197,0.24064171122994651,0.04653764571801608,,1.7110027137332665e-05,0.6833617095285591
contextual_recall_deepeval,P,40,True,0.005659550824992007,-0.0045555584863562395,0.02155956595998903,0.19298245614035087,0.47239920501692023,0.14026246949759616,40,0.0,,-0.005871335652932963,0.2789649507806645,-0.2761904761904762,,0.0,0.714019698645888,0.6833617095285591
contextual_relevancy_deepeval,C,40,True,-0.0004724887018969268,-0.0036107738025310645,0.0022813400828263298,0.012802275960170697,0.9458745638355618,-0.0489159986210705,40,0.012517596569173433,0.010080949378436344,0.0008614437206745741,0.5116610766662361,0.12375533428165007,,,0.9458745638355618,1.0
contextual_relevancy_deepeval,M,23,True,-0.11869095247104715,-0.19238434149554348,-0.05626477497687857,-0.7075098814229249,0.0036646104700631243,-0.6985342199080465,20,0.012930724957843151,,0.036914488016802485,0.00039814247498266234,0.9263157894736842,0.0359069070210378,,0.010993831410189373,0.001194427424947987
contextual_relevancy_deepeval,P,40,True,0.002120017430091316,-0.0005643172857095905,0.005312583805204563,0.24893314366998578,0.1868183244302798,0.21983929016022624,40,0.012517596569173433,,-0.0005642213536848217,0.5818740177287838,-0.10384068278805121,,0.011476883643217042,0.3736366488605596,1.0
eti_clarity,C,40,False,0.0,,,,,0.0,40,0.0,0.0,0.0,,,,,,
eti_clarity,M,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,0.0,,,
eti_clarity,P,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,,0.0,,
eti_empathy,C,40,False,0.0,,,,,0.0,40,0.0,0.0,0.0,,,,,,
eti_empathy,M,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,0.0,,,
eti_empathy,P,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,,0.0,,
eti_quality_assessment,C,40,False,0.0,,,,,0.0,40,0.0,0.0,0.0,,,,,,
eti_quality_assessment,M,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,0.0,,,
eti_quality_assessment,P,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,,0.0,,
eti_quality_score,C,40,False,0.0012500000000000011,-0.0037500000000000007,0.01,0.3,0.5807121621890252,0.05911534196732677,40,0.0,0.0,3.4694469519536144e-19,1.0,0.0,,,1.0,1.0
eti_quality_score,M,40,False,-0.0175,-0.044583333333333336,0.01125,-0.5111111111111111,0.17080240846810701,-0.19629487631064738,40,0.0,,0.006218350956282025,0.5282327768679831,0.2857142857142857,0.0,,0.512407225404321,1.0
eti_quality_score,P,40,False,-0.0012499999999999983,-0.008749999999999997,0.005000000000000002,-0.16666666666666666,0.7854947471183542,-0.052114080988979364,40,0.0,,-0.006218350956282025,0.27630291733748347,-0.6666666666666666,,0.0,1.0,0.8289087520124504
eti_relevance,C,40,False,0.0,,,,,0.0,40,0.0,0.0,0.0,,,,,,
eti_relevance,M,40,False,0.0,-0.075,0.075,0.0,1.0,0.0,40,0.0,,0.0,,,0.0,,1.0,
eti_relevance,P,40,False,0.0,,,,,0.0,40,0.0,,0.0,,,,0.0,,
eti_variability,C,40,False,-2.7755575615628915e-18,-0.015000000000000008,0.009999999999999998,-0.3333333333333333,0.6547208460185769,-6.128265163612871e-17,40,0.0,0.0,0.002512724050130204,0.31731050786291415,1.0,,,0.6547208460185769,0.6898471703826409
eti_variability,M,40,False,-0.13,-0.27,-0.010000000000000004,-0.5934065934065934,0.05585331231373634,-0.3140200910678407,40,0.0,,0.03856646776275725,0.22994905679421362,0.5,0.0,,0.16755993694120902,0.6898471703826409
eti_variability,P,40,False,-0.015000000000000003,-0.05500000000000001,0.0,-1.0,0.17971249487899976,-0.21434180268198585,40,0.0,,-0.011180339887498945,0.6547208460185769,-0.3333333333333333,,0.0,0.3594249897579995,0.6898471703826409
faithfulness_ragas,C,40,True,-0.011282905982414645,-0.04702989435965887,0.00419586685473053,-0.05546218487394958,0.7778686328168113,-0.15314462414409033,40,0.043656565274995895,0.03087903397499709,-0.01260015369492202,0.05028272399921821,-0.38487394957983195,,,0.7778686328168113,0.15084817199765463
faithfulness_ragas,M,40,True,-0.14874258260701892,-0.1991793415758358,-0.1079710540783723,-0.9271255060728745,6.308294937036861e-07,-1.0133288099943465,40,0.043656565274995895,,0.0024411723057536955,0.47284198191004256,0.13360323886639677,0.055606072303005696,,1.8924884811110582e-06,0.9456839638200851
faithfulness_ragas,P,40,True,-0.006527947277669951,-0.0170845297700535,0.005191178490448252,-0.253781512605042,0.19677758436521786,-0.18018631081482275,40,0.043656565274995895,,0.0008918621007160607,0.8313824525262963,-0.04126984126984127,,0.04871274508205082,0.3935551687304357,0.9456839638200851
hallucination_deepeval,C,40,False,0.0029600522026992622,-0.005794181308887192,0.02071428571428572,0.3333333333333333,0.5001842570707944,0.07648713874551458,40,0.0,0.0,0.004715853099183707,0.5001842570707944,-0.3333333333333333,,,1.0,1.0
hallucination_deepeval,M,40,False,-0.015154160348283319,-0.10585573490061954,0.04486598787283976,0.25274725274725274,0.421578895217645,-0.0638419626658653,40,0.0,,0.0015366202621537224,0.5067455281526702,0.2087912087912088,0.0,,1.0,1.0
hallucination_deepeval,P,40,False,-0.0063181340718105414,-0.04067608014299715,0.003964285714285711,-0.06666666666666667,0.892738400944348,-0.11282424998406484,40,0.0,,0.008849745915560103,0.892738400944348,0.06666666666666667,,0.0,1.0,1.0
