metric,variant,n_traces,wilcoxon_p,wilcoxon_stat,levene_p_on_std,levene_stat_on_std,mean_shift,cohens_d_paired,note,wilcoxon_p_holm,levene_p_holm
answer_relevancy_deepeval,C,10,1.0,0.0,,,0.0,,,1.0,
answer_relevancy_deepeval,M,10,1.0,0.0,,,0.0,,,1.0,
answer_relevancy_deepeval,P,10,1.0,0.0,,,0.0,,,1.0,
claim_count_contradicted,C,10,1.0,0.0,0.3305649312781842,1.0,0.02,0.31622776601683794,,1.0,0.3305649312781842
claim_count_contradicted,M,0,,,,,,,too few paired traces,,
claim_count_contradicted,P,0,,,,,,,too few paired traces,,
claim_count_covered,C,10,0.5,1.0,0.06665274364042226,3.810922643008346,-0.059999999999999984,-0.31622776601683794,,0.5,0.06665274364042226
claim_count_covered,M,0,,,,,,,too few paired traces,,
claim_count_covered,P,0,,,,,,,too few paired traces,,
claim_count_partial,C,10,0.875,4.0,0.025928152081301253,5.891925428674238,-0.05499999999999996,-0.18511626775157594,,0.875,0.025928152081301253
claim_count_partial,M,0,,,,,,,too few paired traces,,
claim_count_partial,P,0,,,,,,,too few paired traces,,
claim_count_total,C,10,0.5,0.0,0.15095045218426748,2.2499999999999996,-0.08000000000000007,-0.4743416490252569,,0.5,0.15095045218426748
claim_count_total,M,0,,,,,,,too few paired traces,,
claim_count_total,P,0,,,,,,,too few paired traces,,
claim_coverage,C,10,0.25,0.0,0.08221320634115628,3.3881357292178738,-0.008994047619047615,-0.5938269361087863,,0.25,0.08221320634115628
claim_coverage,M,0,,,,,,,too few paired traces,,
claim_coverage,P,0,,,,,,,too few paired traces,,
contextual_precision_deepeval,C,10,0.734375,19.0,0.35232553676921513,0.9116481087569719,-0.019869257476330435,-0.29813486670769607,,1.0,0.4021799901758726
contextual_precision_deepeval,M,10,0.625,22.0,0.2010899950879363,1.760986432501508,-0.10572561556412671,-0.43365113515090786,,1.0,0.4021799901758726
contextual_precision_deepeval,P,10,0.09765625,8.0,0.10207484879475771,2.9677797203524543,-0.045445701982475814,-0.530313549487634,,0.29296875,0.30622454638427316
contextual_recall_deepeval,C,10,0.296875,7.0,0.5060745600666233,0.460385141714433,-0.024869255744255747,-0.43023396108582534,,0.890625,1.0
contextual_recall_deepeval,M,10,1.0,27.0,0.640407366556111,0.22575022263083838,-0.035177920763447106,-0.1403899973241962,,1.0,1.0
contextual_recall_deepeval,P,10,0.578125,10.0,0.6850011165892704,0.16997672799804853,-0.013443986568986543,-0.3139463007898346,,1.0,1.0
contextual_relevancy_deepeval,C,10,0.130859375,12.0,0.3824173976086255,0.8016515036359949,-0.013287267058312995,-0.5014259978014421,,0.26171875,0.3824173976086255
contextual_relevancy_deepeval,M,1,,,,,,,too few paired traces,,
contextual_relevancy_deepeval,P,10,0.193359375,14.0,0.18712808771031614,1.880537148408297,-0.03429877502146539,-0.5357494116082719,,0.26171875,0.3742561754206323
eti_clarity,C,10,1.0,0.0,,,0.0,,,1.0,
eti_clarity,M,10,1.0,0.0,,,0.0,,,1.0,
eti_clarity,P,10,1.0,0.0,,,0.0,,,1.0,
eti_empathy,C,10,1.0,0.0,,,0.0,,,1.0,
eti_empathy,M,10,1.0,0.0,,,0.0,,,1.0,
eti_empathy,P,10,1.0,0.0,,,0.0,,,1.0,
eti_quality_assessment,C,10,1.0,0.0,,,0.0,,,1.0,
eti_quality_assessment,M,10,1.0,0.0,,,0.0,,,1.0,
eti_quality_assessment,P,10,1.0,0.0,,,0.0,,,1.0,
eti_quality_score,C,10,1.0,0.0,,,0.0,,,1.0,
eti_quality_score,M,10,0.25,0.0,0.06686693810821678,3.804346869073445,-0.034999999999999996,-0.5233670255931883,,0.75,0.06686693810821678
eti_quality_score,P,10,1.0,0.0,,,0.0,,,1.0,
eti_relevance,C,10,1.0,0.0,,,0.0,,,1.0,
eti_relevance,M,10,1.0,0.0,0.3305649312781842,0.9999999999999998,-0.04,-0.31622776601683794,,1.0,0.3305649312781842
eti_relevance,P,10,1.0,0.0,,,0.0,,,1.0,
eti_variability,C,10,1.0,0.0,,,0.0,,,1.0,
eti_variability,M,10,0.5,0.0,0.15095045218426736,2.25,-0.1,-0.39391929857916763,,1.0,0.15095045218426736
eti_variability,P,10,1.0,0.0,,,0.0,,,1.0,
faithfulness_ragas,C,10,0.625,22.0,0.3850650639622384,0.7925833656058648,0.0124645095048321,0.12801470367579848,,1.0,0.6052717675223628
faithfulness_ragas,M,10,0.005859375,2.0,0.268881284311888,1.3015566722960787,-0.12547933422773727,-0.9530461299171825,,0.017578125,0.6052717675223628
faithfulness_ragas,P,10,0.734375,19.0,0.2017572558407876,1.7555353903336144,-0.004184061328521327,-0.041703919979220086,,1.0,0.6052717675223628
hallucination_deepeval,C,10,1.0,0.0,0.3305649312781842,1.0,6.127450980392135e-05,0.31622776601683794,,1.0,0.9916947938345526
hallucination_deepeval,M,10,1.0,0.0,0.3305649312781842,1.0,-0.006188725490196079,-0.31622776601683794,,1.0,0.9916947938345526
hallucination_deepeval,P,10,1.0,0.0,0.3305649312781842,1.0,6.127450980392135e-05,0.31622776601683794,,1.0,0.9916947938345526
